,RunId,iteration,Step,init_people,rich_threshold,reserve_percent,Rich,Poor,Middle Class,Savings,Wallets,Money,Loans,Model Params,Run,AgentID,Wealth
198,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,48,-38
199,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,49,10
200,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,50,43
201,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,51,-48
202,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,52,69
203,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,53,53
204,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,54,-15
205,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,55,-81
206,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,56,37
207,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,57,23
208,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,58,49
209,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,59,-27
210,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,60,-4
211,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,61,-19
212,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,62,56
213,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,63,17
214,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,64,-62
215,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,65,14
216,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,66,-53
217,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,67,54
218,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,68,-48
219,3,0,1000,100,10,5,46,40,12,2445,25,2470,1847,"(100, 10, 5)",4,69,-1
